theoremName,file
HIntegral_symm,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
VIntegral_symm,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
verticalIntegral_split_three,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
DiffVertRect_eq_UpperLowerUs,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
existsDifferentiableOn_of_bddAbove,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
HolomorphicOn.vanishesOnRectangle,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleIntegral_congr,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleIntegral'_congr,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
rectangleIntegral_symm,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
rectangleIntegral_symm_re,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleBorderIntegrable.add,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ContinuousOn.rectangleBorder_integrable,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ContinuousOn.rectangleBorderIntegrable,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ContinuousOn.rectangleBorderNoPIntegrable,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
HolomorphicOn.rectangleBorderIntegrable',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
HolomorphicOn.rectangleBorderIntegrable,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleIntegralHSplit',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleIntegralVSplit,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleIntegralVSplit',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectanglePullToNhdOfPole',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectanglePullToNhdOfPole'',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ResidueTheoremAtOrigin_aux1c,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ResidueTheoremAtOrigin_aux1c',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ResidueTheoremAtOrigin_aux2c,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ResidueTheoremAtOrigin_aux2c',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleIntegral.const_smul,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleIntegral.const_mul',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleIntegral.translate,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
RectangleIntegral.translate',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
Complex.inv_re_add_im,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
sq_add_sq_ne_zero,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
continuous_self_div_sq_add_sq,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
integral_self_div_sq_add_sq,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
integral_const_div_sq_add_sq,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
integral_const_div_self_add_im,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
integral_const_div_re_add_self,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ResidueTheoremAtOrigin',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ResidueTheoremInRectangle,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ResidueTheoremAtOrigin,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
ResidueTheoremOnRectangleWithSimplePole,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/ResidueCalcOnRectangles.lean
Square_apply,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
preimage_equivRealProd_prod,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
preimage_equivRealProdCLM_reProdIm,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
ContinuousLinearEquiv.coe_toLinearEquiv_symm,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
reProdIm_subset_iff,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
reProdIm_subset_iff',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
segment_reProdIm_segment_eq_convexHull,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
rectangle_in_convex,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mem_Rect,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
square_neg,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
uIoo_of_le,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
Set.left_not_mem_uIoo,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
Set.right_not_mem_uIoo,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
Set.ne_left_of_mem_uIoo,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
Set.ne_right_of_mem_uIoo,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
left_mem_rect,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
right_mem_rect,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
rect_subset_iff,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
RectSubRect,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
RectSubRect',PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
rectangleBorder_subset_rectangle,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
rectangle_disjoint_singleton,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
rectangleBorder_disjoint_singleton,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
rectangle_subset_punctured_rect,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
rectangleBorder_subset_punctured_rect,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
rectangle_mem_nhds_iff,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
horizontalSegment_eq,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
verticalSegment_eq,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangle_left_re,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangle_right_re,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangle_left_im,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangle_right_im,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangleBorder_left_re,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangleBorder_right_re,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangleBorder_left_im,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangleBorder_right_im,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangle_left_re_NoP,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangle_right_re_NoP,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangle_left_im_NoP,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
mapsTo_rectangle_right_im_NoP,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
not_mem_rectangleBorder_of_rectangle_mem_nhds,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
Complex.nhds_hasBasis_square,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
square_mem_nhds,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
square_subset_square,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
SmallSquareInRectangle,PrimeNumberTheoremAnd/PrimeNumberTheoremAnd/Rectangle.lean
